"Year","Species","Pounds","Dollars","Habitat"
1992,"CRUSTACEANS **",205000,1432304.38450133,"Reef"
1992,"TUNA, ALBACORE",925000,1749843.56408417,"Pelagic"
1992,"TUNA, SKIPJACK",1987000,4698904.24255036,"Pelagic"
1992,"SEA BASS, GIANT",81000,380033.592585849,"Deep"
1992,"TUNA, YELLOWFIN",2689000,10446701.2006377,"Pelagic"
1992,"VERTEBRATES, JAWED",2982000,9434967.32526467,"Jawed Vertebrates"
1992,"SHRIMPS, PENAEID **",3000,20268.4582712453,"Deep"
1992,"SQUIDS, LOLIGINIDAE **",21000,76006.7185171697,"Reef"
1992,"LOBSTER, CARIBBEAN SPINY",323000,2837584.15797434,"NWHI"
1992,"SNAPPERS, LUTJANIDAE (FAMILY) **",625000,2786913.01229622,"Deep"
1992,"SHARKS, CHONDRICHTHYES (CLASS) **",474000,800604.101714188,"Pelagic"
1993,"CORALS **",1000,28048.2629196598,"Reef"
1993,"SWORDFISH",13486000,44370702.041083,"Pelagic"
1993,"SNAPPER, RED",183000,1451910.0805471,"Deep"
1993,"TUNA, BIGEYE",4200000,23808025.5253348,"Pelagic"
1993,"BILLFISHES **",2918000,5025588.75607552,"Pelagic"
1993,"CRUSTACEANS **",1151000,3336093.38962071,"Reef"
1993,"TUNA, ALBACORE",1204000,2365953.47216424,"Pelagic"
1993,"TUNA, SKIPJACK",2396000,4632913.07520028,"Pelagic"
1993,"SEA BASS, GIANT",154000,717705.55117953,"Deep"
1993,"TUNA, YELLOWFIN",3710000,13502763.749088,"Pelagic"
1993,"VERTEBRATES, JAWED",1893000,5566755.24064307,"Jawed Vertebrates"
1993,"SHRIMPS, PENAEID **",32000,268933.344464973,"Deep"
1993,"SQUIDS, LOLIGINIDAE **",2000,8249.48909401759,"Reef"
1993,"LOBSTER, CARIBBEAN SPINY",3000,36297.7520136774,"NWHI"
1993,"SNAPPERS, LUTJANIDAE (FAMILY) **",644000,4047199.34952503,"Deep"
1993,"SHARKS, CHONDRICHTHYES (CLASS) **",2605000,4811102.03963106,"Pelagic"
1994,"SAILFISH",1000,1615.42452997832,"Pelagic"
1994,"TUNAS **",23000,51693.5849593063,"Pelagic"
1994,"CORALS **",4000,124387.688808331,"Reef"
1994,"SWORDFISH",7418000,27337829.3208231,"Pelagic"
1994,"SNAPPER, RED",420000,2967534.86157017,"Deep"
1994,"TUNA, BIGEYE",4651000,29313493.5209866,"Pelagic"
1994,"BILLFISHES **",2147000,4469879.67445001,"Pelagic"
1994,"CRUSTACEANS **",1e+05,597707.076091978,"Reef"
1994,"SPEARFISHES **",164000,256852.500266553,"Pelagic"
1994,"TUNA, ALBACORE",1415000,2901302.45584106,"Pelagic"
1994,"TUNA, SKIPJACK",1310000,3324543.68269538,"Pelagic"
1994,"TUNA, YELLOWFIN",3732000,14950754.0249494,"Pelagic"
1994,"VERTEBRATES, JAWED",3514000,10004324.1141557,"Jawed Vertebrates"
1994,"SHRIMPS, PENAEID **",63000,526628.396772932,"Deep"
1994,"TUNA, BLUEFIN PACIFIC",94000,1791505.80374596,"Pelagic"
1994,"LOBSTER, CARIBBEAN SPINY",114000,1095257.8313253,"NWHI"
1994,"SNAPPERS, LUTJANIDAE (FAMILY) **",117000,549244.340192629,"Deep"
1994,"SHARKS, CHONDRICHTHYES (CLASS) **",1803000,620323.019511675,"Pelagic"
1995,"SAILFISH",46000,56959.0955134208,"Pelagic"
1995,"TUNAS **",12000,22150.7593663303,"Pelagic"
1995,"CORALS **",6000,194610.243004188,"Reef"
1995,"SWORDFISH",5882000,20399267.1792926,"Pelagic"
1995,"SNAPPER, RED",533000,3317867.31365676,"Deep"
1995,"TUNA, BIGEYE",4746000,25425907.358352,"Pelagic"
1995,"BILLFISHES **",3015000,4620015.52497746,"Pelagic"
1995,"CRUSTACEANS **",56000,341754.573080525,"Reef"
1995,"SPEARFISHES **",310000,379727.303422805,"Pelagic"
1995,"TUNA, ALBACORE",2257000,4165924.95796769,"Pelagic"
1995,"TUNA, SKIPJACK",1603000,3085284.34031029,"Pelagic"
1995,"TUNA, YELLOWFIN",4541000,16905775.9878028,"Pelagic"
1995,"VERTEBRATES, JAWED",3941000,10792166.4026956,"Jawed Vertebrates"
1995,"SHRIMPS, PENAEID **",53000,425611.019253061,"Deep"
