"Year","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn"
"1988","SEA BASS, GIANT","175,000","79","306,000","Public","Commercial","Stereolepis gigas","167918"
"1988","TUNA, YELLOWFIN","4,000,000","1,814","7,200,000","Public","Commercial","Thunnus albacares","172423"
"1988","VERTEBRATES, JAWED","5,180,000","2,350","7,787,000","Public","Commercial","Gnathostomata ","914179"
"1988","LOBSTER, CARIBBEAN SPINY","1,200,000","544","4,400,000","Public","Commercial","Panulirus argus","97648"
"1988","SNAPPERS, LUTJANIDAE (FAMILY) **","1,300,000","590","1,885,000","Public","Commercial","Lutjanidae","168845"
"1988","SHARKS, CHONDRICHTHYES (CLASS) **","14,000","6","14,000","Public","Commercial","Chondrichthyes","159785"
"1989","SAILFISH","6,000","3","8,000","Public","Commercial","Istiophorus platypterus","172488"
"1989","TUNAS **","16,000","7","19,000","Public","Commercial","Thunnus","172418"
"1989","SWORDFISH","629,000","285","1,365,000","Public","Commercial","Xiphias gladius","172482"
"1989","SNAPPER, RED","750,000","340","2,697,000","Public","Commercial","Lutjanus campechanus","168853"
"1989","TUNA, BIGEYE","3,424,000","1,553","11,859,000","Public","Commercial","Thunnus obesus","172428"
"1989","BILLFISHES **","3,051,000","1,384","2,654,000","Public","Commercial","Istiophoridae","172486"
"1989","CRUSTACEANS **","571,000","259","2,259,000","Public","Commercial","Crustacea","83677"
"1989","SPEARFISHES **","315,000","143","324,000","Public","Commercial","Tetrapturus ","172498"
"1989","TUNA, ALBACORE","601,000","273","744,000","Public","Commercial","Thunnus alalunga","172419"
"1989","TUNA, SKIPJACK","3,347,000","1,518","3,621,000","Public","Commercial","Katsuwonus pelamis","172401"
"1989","SEA BASS, GIANT","94,000","43","242,000","Public","Commercial","Stereolepis gigas","167918"
"1989","TUNA, YELLOWFIN","6,688,000","3,034","10,050,000","Public","Commercial","Thunnus albacares","172423"
"1989","VERTEBRATES, JAWED","2,845,000","1,290","4,082,000","Public","Commercial","Gnathostomata ","914179"
"1989","LOBSTER, CARIBBEAN SPINY","1,276,000","579","5,674,000","Public","Commercial","Panulirus argus","97648"
"1989","SNAPPERS, LUTJANIDAE (FAMILY) **","564,000","256","1,392,000","Public","Commercial","Lutjanidae","168845"
"1989","SHARKS, CHONDRICHTHYES (CLASS) **","220,000","100","119,000","Public","Commercial","Chondrichthyes","159785"
"1990","SAILFISH","10,000","5","10,000","Public","Commercial","Istiophorus platypterus","172488"
"1990","TUNAS **","16,000","7","51,000","Public","Commercial","Thunnus","172418"
"1990","SWORDFISH","3,518,000","1,596","7,882,000","Public","Commercial","Xiphias gladius","172482"
"1990","SNAPPER, RED","553,000","251","2,296,000","Public","Commercial","Lutjanus campechanus","168853"
"1990","TUNA, BIGEYE","3,689,000","1,673","13,281,000","Public","Commercial","Thunnus obesus","172428"
"1990","BILLFISHES **","2,843,000","1,290","3,383,000","Public","Commercial","Istiophoridae","172486"
"1990","CRUSTACEANS **","449,000","204","1,933,000","Public","Commercial","Crustacea","83677"
"1990","SPEARFISHES **","144,000","65","204,000","Public","Commercial","Tetrapturus ","172498"
"1990","TUNA, ALBACORE","476,000","216","714,000","Public","Commercial","Thunnus alalunga","172419"
"1990","TUNA, SKIPJACK","2,141,000","971","4,346,000","Public","Commercial","Katsuwonus pelamis","172401"
