"Year","Species","RCatch"
2016,"YELLOW TANG",0
2017,"YELLOW TANG",0
2020,"YELLOW TANG",0
2015,"YELLOWBAR PARROTFISH",160
2017,"YELLOWBARBEL GOATFISH",263
2003,"YELLOWFIN GOATFISH",9549
2004,"YELLOWFIN GOATFISH",31858
2005,"YELLOWFIN GOATFISH",63279
2006,"YELLOWFIN GOATFISH",12657
2007,"YELLOWFIN GOATFISH",18560
2008,"YELLOWFIN GOATFISH",6761
2009,"YELLOWFIN GOATFISH",22933
2010,"YELLOWFIN GOATFISH",17236
2011,"YELLOWFIN GOATFISH",23813
2012,"YELLOWFIN GOATFISH",3081
2013,"YELLOWFIN GOATFISH",40858
2014,"YELLOWFIN GOATFISH",63716
2015,"YELLOWFIN GOATFISH",226511
2016,"YELLOWFIN GOATFISH",7740
2017,"YELLOWFIN GOATFISH",14110
2018,"YELLOWFIN GOATFISH",277804
2019,"YELLOWFIN GOATFISH",106019
2020,"YELLOWFIN GOATFISH",19865
2006,"YELLOWFIN SOLDIERFISH",14401
2013,"YELLOWFIN SOLDIERFISH",641
2014,"YELLOWFIN SOLDIERFISH",17395
2015,"YELLOWFIN SOLDIERFISH",4779
2016,"YELLOWFIN SOLDIERFISH",1255
2018,"YELLOWFIN SOLDIERFISH",64648
2020,"YELLOWFIN SOLDIERFISH",15527
2003,"YELLOWFIN SURGEONFISH",3052
2004,"YELLOWFIN SURGEONFISH",7979
2005,"YELLOWFIN SURGEONFISH",1036
2006,"YELLOWFIN SURGEONFISH",4296
2008,"YELLOWFIN SURGEONFISH",1764
2009,"YELLOWFIN SURGEONFISH",1902
2010,"YELLOWFIN SURGEONFISH",4658
2011,"YELLOWFIN SURGEONFISH",973
2012,"YELLOWFIN SURGEONFISH",7062
2013,"YELLOWFIN SURGEONFISH",7036
2014,"YELLOWFIN SURGEONFISH",12796
2015,"YELLOWFIN SURGEONFISH",5492
2016,"YELLOWFIN SURGEONFISH",12669
2017,"YELLOWFIN SURGEONFISH",5282
2018,"YELLOWFIN SURGEONFISH",400
2019,"YELLOWFIN SURGEONFISH",51293
2020,"YELLOWFIN SURGEONFISH",18747
2003,"YELLOWFIN TUNA",183643
2004,"YELLOWFIN TUNA",267509
2005,"YELLOWFIN TUNA",230690
2006,"YELLOWFIN TUNA",123624
2007,"YELLOWFIN TUNA",272993
2008,"YELLOWFIN TUNA",461476
2009,"YELLOWFIN TUNA",197861
2010,"YELLOWFIN TUNA",301683
2011,"YELLOWFIN TUNA",140664
2012,"YELLOWFIN TUNA",181927
2013,"YELLOWFIN TUNA",149878
2014,"YELLOWFIN TUNA",219504
2015,"YELLOWFIN TUNA",292336
2016,"YELLOWFIN TUNA",85476
2017,"YELLOWFIN TUNA",82152
2018,"YELLOWFIN TUNA",215266
2019,"YELLOWFIN TUNA",286858
2020,"YELLOWFIN TUNA",215763
2006,"YELLOWHEAD MORAY EEL",1170
2009,"YELLOWHEAD MORAY EEL",854
2013,"YELLOWHEAD MORAY EEL",853
2015,"YELLOWHEAD MORAY EEL",808
2016,"YELLOWHEAD MORAY EEL",88
2003,"YELLOWMARGIN MORAY EEL",1117
2004,"YELLOWMARGIN MORAY EEL",2401
2005,"YELLOWMARGIN MORAY EEL",1036
2006,"YELLOWMARGIN MORAY EEL",2314
2007,"YELLOWMARGIN MORAY EEL",558
2008,"YELLOWMARGIN MORAY EEL",5657
2012,"YELLOWMARGIN MORAY EEL",2013
2013,"YELLOWMARGIN MORAY EEL",759
2014,"YELLOWMARGIN MORAY EEL",716
2015,"YELLOWMARGIN MORAY EEL",4120
2016,"YELLOWMARGIN MORAY EEL",1767
2006,"YELLOWSTRIPE CORIS",6790
2013,"YELLOWSTRIPE CORIS",1078
2017,"YELLOWSTRIPE CORIS",127
2018,"YELLOWSTRIPE CORIS",600
2003,"YELLOWSTRIPE GOATFISH",555639
2004,"YELLOWSTRIPE GOATFISH",550376
2005,"YELLOWSTRIPE GOATFISH",322434
2006,"YELLOWSTRIPE GOATFISH",722981
2007,"YELLOWSTRIPE GOATFISH",202543
2008,"YELLOWSTRIPE GOATFISH",410966
2009,"YELLOWSTRIPE GOATFISH",644332
2010,"YELLOWSTRIPE GOATFISH",164109
2011,"YELLOWSTRIPE GOATFISH",112330
2012,"YELLOWSTRIPE GOATFISH",95907
2013,"YELLOWSTRIPE GOATFISH",791789
2014,"YELLOWSTRIPE GOATFISH",378305
2015,"YELLOWSTRIPE GOATFISH",759160
2016,"YELLOWSTRIPE GOATFISH",205370
2017,"YELLOWSTRIPE GOATFISH",379681
2018,"YELLOWSTRIPE GOATFISH",1651286
2019,"YELLOWSTRIPE GOATFISH",983564
2020,"YELLOWSTRIPE GOATFISH",395520
2006,"YELLOWTAIL CORIS",0
2007,"YELLOWTAIL CORIS",0
2013,"YELLOWTAIL CORIS",0
2006,"ZEBRA MORAY EEL",860
2013,"ZEBRA MORAY EEL",0
2016,"ZEBRA MORAY EEL",144
