Year,State,NMFS Name,Spatial,Pounds,Dollars,Collection,Confidentiality
2016,HAWAII,"SNAPPERS, LUTJANIDAE (FAMILY) **",Reef,"266,362","1,708,336",Commercial,Public
2016,HAWAII,SPEARFISHES **,Pelagic,"773,727","824,512",Commercial,Public
2016,HAWAII,"SQUIDS, LOLIGINIDAE **",Reef,842,"3,429",Commercial,Public
2016,HAWAII,SQUIRRELFISHES **,Reef,"48,459","239,534",Commercial,Public
2016,HAWAII,STRIPED MARLIN,Pelagic,"1,006,542","1,936,190",Commercial,Public
2016,HAWAII,"SUNFISH, OCEAN ",Pelagic,"1,556,158","3,316,524",Commercial,Public
2016,HAWAII,SURGEONFISHES **,Reef,"88,222","171,639",Commercial,Public
2016,HAWAII,SWORDFISH ,Pelagic,"1,640,189","4,813,085",Commercial,Public
2016,HAWAII,"TENPOUNDER, HAWAIIAN",Reef,846,"1,705",Commercial,Public
2016,HAWAII,THREADFINS **,Reef,265,"2,134",Commercial,Public
2016,HAWAII,TRIGGERFISHES **,Reef,327,919,Commercial,Public
2016,HAWAII,"TUNA, ALBACORE ",Pelagic,"610,606","1,094,444",Commercial,Public
2016,HAWAII,"TUNA, BIGEYE ",Pelagic,"17,641,587","72,329,303",Commercial,Public
2016,HAWAII,"TUNA, KAWAKAWA ",Pelagic,"6,165","15,752",Commercial,Public
2016,HAWAII,"TUNA, SKIPJACK ",Pelagic,"552,509","787,910",Commercial,Public
2016,HAWAII,"TUNA, YELLOWFIN ",Pelagic,"4,690,743","14,222,243",Commercial,Public
2016,HAWAII,TUNAS **,Pelagic,"5,453","17,726",Commercial,Public
2016,HAWAII,"VERTEBRATES, JAWED",Reef,"13,703","51,590",Commercial,Public
2016,HAWAII,WAHOO ,Pelagic,"1,144,288","3,279,394",Commercial,Public
2015,HAWAII,ALFONSINO ,Pelagic,7,51,Commercial,Public
2015,HAWAII,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",Reef,"21,754","13,820",Commercial,Public
2015,HAWAII,BLACK MARLIN,Pelagic,"10,865","14,398",Commercial,Public
2015,HAWAII,DOLPHINFISH ,Pelagic,"1,131,796","3,426,584",Commercial,Public
2015,HAWAII,EMPERORS **,EMPERORS **,185,857,Commercial,Public
2015,HAWAII,ESCOLAR ,ESCOLAR ,49,104,Commercial,Public
2015,HAWAII,GOATFISHES **,GOATFISHES **,"2,470","10,693",Commercial,Public
2015,HAWAII,"GROUPERS, SERRANIDAE (FAMILY) **","GROUPERS, SERRANIDAE (FAMILY) **","5,187","31,467",Commercial,Public
2015,HAWAII,JACKS **,JACKS **,929,"2,292",Commercial,Public
2015,HAWAII,"JOBFISH, GREEN /UKU ","JOBFISH, GREEN /UKU ","50,662","223,954",Commercial,Public
2015,HAWAII,"LEATHERSKIN, LARGEMOUTHED ","LEATHERSKIN, LARGEMOUTHED ",4,8,Commercial,Public
2015,HAWAII,LIMPETS **,LIMPETS **,626,"4,279",Commercial,Public
2015,HAWAII,"MARLIN, BLUE ","LOBSTER, BANDED SPINY ","1,440,360","1,638,755",Commercial,Public
2015,HAWAII,MILKFISH ,"LOBSTERS, SLIPPER **",59,73,Commercial,Public
2015,HAWAII,"MULLET, STRIPED ","MARLIN, BLUE ",51,226,Commercial,Public
2015,HAWAII,MULLETS **,MILKFISH ,132,374,Commercial,Public
2015,HAWAII,OCTOPUSES **,"MULLET, STRIPED ","2,149","9,753",Commercial,Public
2015,HAWAII,OILFISH ,MULLETS **,"482,813","275,499",Commercial,Public
2015,HAWAII,OPAH ,OCTOPUSES **,"2,067,231","3,150,568",Commercial,Public
2015,HAWAII,PARROTFISHES **,OILFISH ,"1,286","4,212",Commercial,Public
2015,HAWAII,POMFRETS **,PARROTFISHES **,"1,339,002","2,873,516",Commercial,Public
2015,HAWAII,RUDDERFISH **,POMFRETS **,633,"1,156",Commercial,Public
2015,HAWAII,"RUNNER, RAINBOW ",RUDDERFISH **,"1,092","1,528",Commercial,Public
2015,HAWAII,SAILFISH ,"RUNNER, RAINBOW ","34,897","28,705",Commercial,Public
2015,HAWAII,"SCAD, BIGEYE ",SAILFISH ,"16,919","57,585",Commercial,Public
2015,HAWAII,"SCAD, MACKEREL ","SCAD, BIGEYE ","19,069","50,139",Commercial,Public
2015,HAWAII,SCORPIONFISHES **,"SCAD, MACKEREL ",836,"7,168",Commercial,Public
2015,HAWAII,SEAWEED,SCORPIONFISHES **,"4,108","51,342",Commercial,Public
2015,HAWAII,"SHARKS, MAKO **",SEAWEED,"93,862","92,922",Commercial,Public
2015,HAWAII,"SHARKS, THRESHER **","SHARKS, MAKO **","8,837","4,320",Commercial,Public
2015,HAWAII,"SHRIMP, MARINE **","SHARKS, THRESHER **","7,555","42,723",Commercial,Public
2015,HAWAII,"SNAPPER, GLASSEYE ","SHRIMP, MARINE **","2,990","12,101",Commercial,Public
2015,HAWAII,"SNAPPERS, LUTJANIDAE (FAMILY) **","SNAPPER, GLASSEYE ","127,496","900,358",Commercial,Public
2015,HAWAII,SPEARFISHES **,"SNAPPERS, LUTJANIDAE (FAMILY) **","599,748","541,066",Commercial,Public
2015,HAWAII,"SQUIDS, LOLIGINIDAE **",SPEARFISHES **,466,"1,187",Commercial,Public
2015,HAWAII,SQUIRRELFISHES **,"SQUIDS, LOLIGINIDAE **","7,577","32,375",Commercial,Public
2015,HAWAII,STRIPED MARLIN,SQUIRRELFISHES **,"1,165,261","1,362,115",Commercial,Public
2015,HAWAII,SURGEONFISHES **,STRIPED MARLIN,"3,005","7,518",Commercial,Public
2015,HAWAII,SWORDFISH ,"SUNFISH, OCEAN ","2,044,215","4,629,170",Commercial,Public
2015,HAWAII,THREADFINS **,SURGEONFISHES **,14,50,Commercial,Public
2015,HAWAII,"TUNA, ALBACORE ",SWORDFISH ,"649,216","1,033,297",Commercial,Public
2015,HAWAII,"TUNA, BIGEYE ","TENPOUNDER, HAWAIIAN","18,701,277","70,751,664",Commercial,Public
2015,HAWAII,"TUNA, KAWAKAWA ",THREADFINS **,"10,150","27,342",Commercial,Public
2015,HAWAII,"TUNA, SKIPJACK ",TRIGGERFISHES **,"435,100","543,651",Commercial,Public
2015,HAWAII,"TUNA, YELLOWFIN ","TUNA, ALBACORE ","3,136,039","9,215,515",Commercial,Public
2015,HAWAII,TUNAS **,"TUNA, BIGEYE ",658,"4,381",Commercial,Public
2015,HAWAII,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **","TUNA, KAWAKAWA ",24,"1,080",Commercial,Public
2015,HAWAII,"VERTEBRATES, JAWED","TUNA, SKIPJACK ","3,297","14,180",Commercial,Public
2015,HAWAII,WAHOO ,"TUNA, YELLOWFIN ","992,977","2,328,054",Commercial,Public
2014,HAWAII,ALFONSINO ,TUNAS **,133,592,Commercial,Public
2014,HAWAII,AMBERJACKS **,"VERTEBRATES, JAWED","2,699","5,614",Commercial,Public
2014,HAWAII,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",WAHOO ,"18,590","18,277",Commercial,Public
2014,HAWAII,BILLFISHES **,,382,627,Commercial,Public
2014,HAWAII,BLACK MARLIN,,"21,720","33,622",Commercial,Public
2014,HAWAII,CORALS **,,"1,304","117,396",Commercial,Public
2014,HAWAII,"CRABS, DECAPODA (ORDER) **",,"25,686","112,382",Commercial,Public
2014,HAWAII,CRUSTACEANS **,,187,354,Commercial,Public
2014,HAWAII,DOLPHINFISH ,,"1,689,271","4,412,238",Commercial,Public
2014,HAWAII,EELS **,,985,"1,358",Commercial,Public
2014,HAWAII,EMPERORS **,,"3,549","12,348",Commercial,Public
2014,HAWAII,ESCOLAR ,,"5,431","7,852",Commercial,Public
2014,HAWAII,GOATFISHES **,,"53,597","245,086",Commercial,Public
2014,HAWAII,"GROUPERS, SERRANIDAE (FAMILY) **",,"9,608","50,195",Commercial,Public
2014,HAWAII,"HERRING, LAKE OR CISCO ",,"1,157","2,314",Commercial,Public
2014,HAWAII,"HERRING, ROUND ",,"4,236","9,422",Commercial,Public
2014,HAWAII,"JACK, BLACK ",,460,"1,096",Commercial,Public
