"Year","Species","RCatch","Group","Habitat"
2016,"HIGHFIN RUDDERFISH",5062,"HIGHFIN RUDDERFISH","Reef"
2017,"HIGHFIN RUDDERFISH",1756,"HIGHFIN RUDDERFISH","Reef"
2018,"HIGHFIN RUDDERFISH",6927,"HIGHFIN RUDDERFISH","Reef"
2019,"HIGHFIN RUDDERFISH",22896,"HIGHFIN RUDDERFISH","Reef"
2020,"HIGHFIN RUDDERFISH",32156,"HIGHFIN RUDDERFISH","Reef"
2006,"HOUNDFISH",393,"HOUNDFISH","Reef"
2007,"HOUNDFISH",1169,"HOUNDFISH","Reef"
2008,"HOUNDFISH",882,"HOUNDFISH","Reef"
2009,"HOUNDFISH",0,"HOUNDFISH","Reef"
2010,"HOUNDFISH",518,"HOUNDFISH","Reef"
2011,"HOUNDFISH",198,"HOUNDFISH","Reef"
2012,"HOUNDFISH",161,"HOUNDFISH","Reef"
2013,"HOUNDFISH",0,"HOUNDFISH","Reef"
2014,"HOUNDFISH",57,"HOUNDFISH","Reef"
2015,"HOUNDFISH",4096,"HOUNDFISH","Reef"
2016,"HOUNDFISH",637,"HOUNDFISH","Reef"
2017,"HOUNDFISH",2193,"HOUNDFISH","Reef"
2018,"HOUNDFISH",7011,"HOUNDFISH","Reef"
2019,"HOUNDFISH",8593,"HOUNDFISH","Reef"
2020,"HOUNDFISH",399,"HOUNDFISH","Reef"
2003,"IRIDESCENT CARDINALFISH",2427759,"CARDINALFISHES","Reef"
2006,"IRIDESCENT CARDINALFISH",4123,"CARDINALFISHES","Reef"
2014,"IRIDESCENT CARDINALFISH",0,"CARDINALFISHES","Reef"
2017,"IRIDESCENT CARDINALFISH",1229,"CARDINALFISHES","Reef"
2004,"IRONJAW SNAPPER",10021,"SNAPPERS","Reef"
2005,"IRONJAW SNAPPER",1761,"SNAPPERS","Reef"
2007,"IRONJAW SNAPPER",568,"SNAPPERS","Reef"
2008,"IRONJAW SNAPPER",1855,"SNAPPERS","Reef"
2009,"IRONJAW SNAPPER",697,"SNAPPERS","Reef"
2010,"IRONJAW SNAPPER",417,"SNAPPERS","Reef"
2011,"IRONJAW SNAPPER",271,"SNAPPERS","Reef"
2012,"IRONJAW SNAPPER",440,"SNAPPERS","Reef"
2013,"IRONJAW SNAPPER",335,"SNAPPERS","Reef"
2015,"IRONJAW SNAPPER",1416,"SNAPPERS","Reef"
2016,"IRONJAW SNAPPER",721,"SNAPPERS","Reef"
2017,"IRONJAW SNAPPER",192,"SNAPPERS","Reef"
2019,"IRONJAW SNAPPER",1245,"SNAPPERS","Reef"
2020,"IRONJAW SNAPPER",313,"SNAPPERS","Reef"
2003,"ISLAND JACK",16956,"JACKS","Reef"
2004,"ISLAND JACK",31064,"JACKS","Reef"
2005,"ISLAND JACK",14681,"JACKS","Reef"
2006,"ISLAND JACK",19477,"JACKS","Reef"
2007,"ISLAND JACK",19230,"JACKS","Reef"
2008,"ISLAND JACK",26157,"JACKS","Reef"
2009,"ISLAND JACK",13278,"JACKS","Reef"
2010,"ISLAND JACK",4925,"JACKS","Reef"
2011,"ISLAND JACK",1497,"JACKS","Reef"
2012,"ISLAND JACK",8205,"JACKS","Reef"
2013,"ISLAND JACK",9205,"JACKS","Reef"
2014,"ISLAND JACK",9028,"JACKS","Reef"
2015,"ISLAND JACK",9399,"JACKS","Reef"
2016,"ISLAND JACK",14817,"JACKS","Reef"
2017,"ISLAND JACK",19727,"JACKS","Reef"
2018,"ISLAND JACK",26403,"JACKS","Reef"
2019,"ISLAND JACK",29280,"JACKS","Reef"
2020,"ISLAND JACK",17822,"JACKS","Reef"
2003,"JACK FAMILY",6726,"JACKS","Reef"
2004,"JACK FAMILY",35802,"JACKS","Reef"
2005,"JACK FAMILY",19625,"JACKS","Reef"
2006,"JACK FAMILY",1929,"JACKS","Reef"
2007,"JACK FAMILY",23847,"JACKS","Reef"
2008,"JACK FAMILY",9337,"JACKS","Reef"
2009,"JACK FAMILY",12198,"JACKS","Reef"
2010,"JACK FAMILY",4700,"JACKS","Reef"
2011,"JACK FAMILY",799,"JACKS","Reef"
2012,"JACK FAMILY",0,"JACKS","Reef"
2013,"JACK FAMILY",4994,"JACKS","Reef"
2014,"JACK FAMILY",2531,"JACKS","Reef"
2015,"JACK FAMILY",4587,"JACKS","Reef"
2016,"JACK FAMILY",3336,"JACKS","Reef"
2017,"JACK FAMILY",2452,"JACKS","Reef"
2018,"JACK FAMILY",6257,"JACKS","Reef"
2019,"JACK FAMILY",16136,"JACKS","Reef"
2020,"JACK FAMILY",7941,"JACKS","Reef"
2003,"KAWAKAWA",8914,"TUNA","Pelagic"
2004,"KAWAKAWA",7860,"TUNA","Pelagic"
2005,"KAWAKAWA",9590,"TUNA","Pelagic"
2006,"KAWAKAWA",5601,"TUNA","Pelagic"
2007,"KAWAKAWA",9136,"TUNA","Pelagic"
2008,"KAWAKAWA",12453,"TUNA","Pelagic"
2009,"KAWAKAWA",6980,"TUNA","Pelagic"
2010,"KAWAKAWA",7372,"TUNA","Pelagic"
2011,"KAWAKAWA",2403,"TUNA","Pelagic"
2012,"KAWAKAWA",5698,"TUNA","Pelagic"
2013,"KAWAKAWA",4459,"TUNA","Pelagic"
2014,"KAWAKAWA",46053,"TUNA","Pelagic"
2015,"KAWAKAWA",32644,"TUNA","Pelagic"
2016,"KAWAKAWA",9443,"TUNA","Pelagic"
2017,"KAWAKAWA",7840,"TUNA","Pelagic"
2018,"KAWAKAWA",33468,"TUNA","Pelagic"
2019,"KAWAKAWA",17843,"TUNA","Pelagic"
2020,"KAWAKAWA",12409,"TUNA","Pelagic"
2003,"KEELTAIL NEEDLEFISH",4335,"NEEDLEFISHES","Reef"
2004,"KEELTAIL NEEDLEFISH",12411,"NEEDLEFISHES","Reef"
2005,"KEELTAIL NEEDLEFISH",20124,"NEEDLEFISHES","Reef"
2006,"KEELTAIL NEEDLEFISH",15151,"NEEDLEFISHES","Reef"
2007,"KEELTAIL NEEDLEFISH",3377,"NEEDLEFISHES","Reef"
2008,"KEELTAIL NEEDLEFISH",2681,"NEEDLEFISHES","Reef"
2009,"KEELTAIL NEEDLEFISH",2767,"NEEDLEFISHES","Reef"
2010,"KEELTAIL NEEDLEFISH",76199,"NEEDLEFISHES","Reef"
2011,"KEELTAIL NEEDLEFISH",501,"NEEDLEFISHES","Reef"
2012,"KEELTAIL NEEDLEFISH",963,"NEEDLEFISHES","Reef"
2013,"KEELTAIL NEEDLEFISH",2558,"NEEDLEFISHES","Reef"
2014,"KEELTAIL NEEDLEFISH",2092,"NEEDLEFISHES","Reef"
2015,"KEELTAIL NEEDLEFISH",0,"NEEDLEFISHES","Reef"
2016,"KEELTAIL NEEDLEFISH",3334,"NEEDLEFISHES","Reef"
2017,"KEELTAIL NEEDLEFISH",13393,"NEEDLEFISHES","Reef"
2004,"LAGOON TRIGGERFISH",1036,"TRIGGERFISHES","Reef"
2007,"LAGOON TRIGGERFISH",0,"TRIGGERFISHES","Reef"
2008,"LAGOON TRIGGERFISH",0,"TRIGGERFISHES","Reef"
2010,"LAGOON TRIGGERFISH",1553,"TRIGGERFISHES","Reef"
2013,"LAGOON TRIGGERFISH",0,"TRIGGERFISHES","Reef"
2014,"LAGOON TRIGGERFISH",338,"TRIGGERFISHES","Reef"
2015,"LAGOON TRIGGERFISH",0,"TRIGGERFISHES","Reef"
2016,"LAGOON TRIGGERFISH",0,"TRIGGERFISHES","Reef"
2017,"LAGOON TRIGGERFISH",0,"TRIGGERFISHES","Reef"
2007,"LARGE HEADED SCORPIONFISH",0,"SCORPIONFISHES","Reef"
2009,"LARGE HEADED SCORPIONFISH",294,"SCORPIONFISHES","Reef"
2010,"LARGE HEADED SCORPIONFISH",537,"SCORPIONFISHES","Reef"
2011,"LARGE HEADED SCORPIONFISH",793,"SCORPIONFISHES","Reef"
2012,"LARGE HEADED SCORPIONFISH",2217,"SCORPIONFISHES","Reef"
2013,"LARGE HEADED SCORPIONFISH",1985,"SCORPIONFISHES","Reef"
2014,"LARGE HEADED SCORPIONFISH",1654,"SCORPIONFISHES","Reef"
2016,"LARGE HEADED SCORPIONFISH",123,"SCORPIONFISHES","Reef"
2017,"LARGE HEADED SCORPIONFISH",133,"SCORPIONFISHES","Reef"
2019,"LARGE HEADED SCORPIONFISH",636,"SCORPIONFISHES","Reef"
2003,"LEATHERBACK",105017,"LEATHERBACK TURTLE","Reef"
2004,"LEATHERBACK",24307,"LEATHERBACK TURTLE","Reef"
2005,"LEATHERBACK",21512,"LEATHERBACK TURTLE","Reef"
2006,"LEATHERBACK",19191,"LEATHERBACK TURTLE","Reef"
2007,"LEATHERBACK",14416,"LEATHERBACK TURTLE","Reef"
2008,"LEATHERBACK",41134,"LEATHERBACK TURTLE","Reef"
2009,"LEATHERBACK",14752,"LEATHERBACK TURTLE","Reef"
2010,"LEATHERBACK",8765,"LEATHERBACK TURTLE","Reef"
2011,"LEATHERBACK",13425,"LEATHERBACK TURTLE","Reef"
2012,"LEATHERBACK",2851,"LEATHERBACK TURTLE","Reef"
2013,"LEATHERBACK",12486,"LEATHERBACK TURTLE","Reef"
2014,"LEATHERBACK",9499,"LEATHERBACK TURTLE","Reef"
2015,"LEATHERBACK",17964,"LEATHERBACK TURTLE","Reef"
2016,"LEATHERBACK",6853,"LEATHERBACK TURTLE","Reef"
2017,"LEATHERBACK",3563,"LEATHERBACK TURTLE","Reef"
2018,"LEATHERBACK",17632,"LEATHERBACK TURTLE","Reef"
2019,"LEATHERBACK",24684,"LEATHERBACK TURTLE","Reef"
2020,"LEATHERBACK",6830,"LEATHERBACK TURTLE","Reef"
2005,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","Reef"
2010,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","Reef"
2014,"LEFTEYE FLOUNDER FAMILY",613,"FLOUNDERS","Reef"
2015,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","Reef"
2016,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","Reef"
2018,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","Reef"
2019,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","Reef"
2020,"LEFTEYE FLOUNDER FAMILY",0,"FLOUNDERS","Reef"
2004,"LEI TRIGGERFISH",1155,"TRIGGERFISHES","Reef"
2010,"LEI TRIGGERFISH",182,"TRIGGERFISHES","Reef"
2003,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2004,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2005,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2006,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2007,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2008,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2009,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2010,"LIZARDFISH FAMILY",349,"LIZARDFISHES","Reef"
2011,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2012,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2013,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2014,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2015,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2016,"LIZARDFISH FAMILY",1215,"LIZARDFISHES","Reef"
2017,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2018,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2019,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2020,"LIZARDFISH FAMILY",0,"LIZARDFISHES","Reef"
2007,"LONGNOSE BUTTERFLYFISH",330,"BUTTERFLYFISHES","Reef"
2003,"LONGTAILED RED SNAPPER",13878,"SNAPPERS","Deep"
2004,"LONGTAILED RED SNAPPER",13845,"SNAPPERS","Deep"
2005,"LONGTAILED RED SNAPPER",18263,"SNAPPERS","Deep"
2006,"LONGTAILED RED SNAPPER",29913,"SNAPPERS","Deep"
2007,"LONGTAILED RED SNAPPER",7482,"SNAPPERS","Deep"
2008,"LONGTAILED RED SNAPPER",7984,"SNAPPERS","Deep"
2009,"LONGTAILED RED SNAPPER",4359,"SNAPPERS","Deep"
2010,"LONGTAILED RED SNAPPER",19992,"SNAPPERS","Deep"
2011,"LONGTAILED RED SNAPPER",7607,"SNAPPERS","Deep"
2012,"LONGTAILED RED SNAPPER",18519,"SNAPPERS","Deep"
2013,"LONGTAILED RED SNAPPER",14327,"SNAPPERS","Deep"
2014,"LONGTAILED RED SNAPPER",17909,"SNAPPERS","Deep"
2015,"LONGTAILED RED SNAPPER",9917,"SNAPPERS","Deep"
2016,"LONGTAILED RED SNAPPER",5515,"SNAPPERS","Deep"
2017,"LONGTAILED RED SNAPPER",1302,"SNAPPERS","Deep"
2018,"LONGTAILED RED SNAPPER",26473,"SNAPPERS","Deep"
2019,"LONGTAILED RED SNAPPER",1513,"SNAPPERS","Deep"
2020,"LONGTAILED RED SNAPPER",6275,"SNAPPERS","Deep"
2003,"LOWFIN CHUB",7591,"CHUBS","Reef"
2004,"LOWFIN CHUB",15926,"CHUBS","Reef"
2005,"LOWFIN CHUB",580,"CHUBS","Reef"
2006,"LOWFIN CHUB",459,"CHUBS","Reef"
2007,"LOWFIN CHUB",3980,"CHUBS","Reef"
2008,"LOWFIN CHUB",5657,"CHUBS","Reef"
2009,"LOWFIN CHUB",5640,"CHUBS","Reef"
2010,"LOWFIN CHUB",7588,"CHUBS","Reef"
2011,"LOWFIN CHUB",1946,"CHUBS","Reef"
2013,"LOWFIN CHUB",3636,"CHUBS","Reef"
2014,"LOWFIN CHUB",3675,"CHUBS","Reef"
2017,"LOWFIN CHUB",729,"CHUBS","Reef"
2018,"LOWFIN CHUB",25716,"CHUBS","Reef"
2003,"MACKEREL FAMILY",5153,"MACKERELS","Pelagic"
2012,"MACKEREL FAMILY",448,"MACKERELS","Pelagic"
2013,"MACKEREL FAMILY",41451,"MACKERELS","Pelagic"
2014,"MACKEREL FAMILY",13986,"MACKERELS","Pelagic"
2015,"MACKEREL FAMILY",18633,"MACKERELS","Pelagic"
2016,"MACKEREL FAMILY",535,"MACKERELS","Pelagic"
2017,"MACKEREL FAMILY",133,"MACKERELS","Pelagic"
2019,"MACKEREL FAMILY",3405,"MACKERELS","Pelagic"
2020,"MACKEREL FAMILY",11382,"MACKERELS","Pelagic"
2003,"MACKEREL SCAD",1360220,"SCADS","Reef"
2004,"MACKEREL SCAD",93485,"SCADS","Reef"
2005,"MACKEREL SCAD",43665,"SCADS","Reef"
2006,"MACKEREL SCAD",224541,"SCADS","Reef"
2007,"MACKEREL SCAD",67055,"SCADS","Reef"
2008,"MACKEREL SCAD",49059,"SCADS","Reef"
2009,"MACKEREL SCAD",381869,"SCADS","Reef"
2010,"MACKEREL SCAD",164598,"SCADS","Reef"
2011,"MACKEREL SCAD",6462,"SCADS","Reef"
2012,"MACKEREL SCAD",260276,"SCADS","Reef"
2013,"MACKEREL SCAD",79117,"SCADS","Reef"
2014,"MACKEREL SCAD",166886,"SCADS","Reef"
2015,"MACKEREL SCAD",209361,"SCADS","Reef"
2016,"MACKEREL SCAD",147523,"SCADS","Reef"
2017,"MACKEREL SCAD",107865,"SCADS","Reef"
2018,"MACKEREL SCAD",404650,"SCADS","Reef"
2019,"MACKEREL SCAD",793390,"SCADS","Reef"
2020,"MACKEREL SCAD",462733,"SCADS","Reef"
2003,"MANYBAR GOATFISH",38582,"GOATFISHES","Reef"
2004,"MANYBAR GOATFISH",53704,"GOATFISHES","Reef"
2005,"MANYBAR GOATFISH",34903,"GOATFISHES","Reef"
2006,"MANYBAR GOATFISH",42787,"GOATFISHES","Reef"
2007,"MANYBAR GOATFISH",40466,"GOATFISHES","Reef"
2008,"MANYBAR GOATFISH",28179,"GOATFISHES","Reef"
2009,"MANYBAR GOATFISH",31799,"GOATFISHES","Reef"
2010,"MANYBAR GOATFISH",45457,"GOATFISHES","Reef"
2011,"MANYBAR GOATFISH",15160,"GOATFISHES","Reef"
2012,"MANYBAR GOATFISH",40263,"GOATFISHES","Reef"
2013,"MANYBAR GOATFISH",23216,"GOATFISHES","Reef"
2014,"MANYBAR GOATFISH",42302,"GOATFISHES","Reef"
2015,"MANYBAR GOATFISH",25381,"GOATFISHES","Reef"
2016,"MANYBAR GOATFISH",15322,"GOATFISHES","Reef"
2017,"MANYBAR GOATFISH",14052,"GOATFISHES","Reef"
2018,"MANYBAR GOATFISH",57239,"GOATFISHES","Reef"
2019,"MANYBAR GOATFISH",28509,"GOATFISHES","Reef"
2020,"MANYBAR GOATFISH",44660,"GOATFISHES","Reef"
2004,"MILKFISH",4229,"MILKFISH","Fishpond"
2006,"MILKFISH",2339,"MILKFISH","Fishpond"
2008,"MILKFISH",46289,"MILKFISH","Fishpond"
2009,"MILKFISH",1715,"MILKFISH","Fishpond"
2010,"MILKFISH",516,"MILKFISH","Fishpond"
2011,"MILKFISH",264,"MILKFISH","Fishpond"
2012,"MILKFISH",979,"MILKFISH","Fishpond"
2015,"MILKFISH",779,"MILKFISH","Fishpond"
2016,"MILKFISH",1604,"MILKFISH","Fishpond"
2017,"MILKFISH",1298,"MILKFISH","Fishpond"
2018,"MILKFISH",17118,"MILKFISH","Fishpond"
2019,"MILKFISH",6653,"MILKFISH","Fishpond"
2020,"MILKFISH",2752,"MILKFISH","Fishpond"
2017,"MOORISH IDOL",0,"MOORISH IDOL","Reef"
2020,"MOORISH IDOL",0,"MOORISH IDOL","Reef"
2003,"MORAY FAMILY",7753,"MORAYS","Reef"
2004,"MORAY FAMILY",4143,"MORAYS","Reef"
2005,"MORAY FAMILY",7975,"MORAYS","Reef"
2006,"MORAY FAMILY",4679,"MORAYS","Reef"
2007,"MORAY FAMILY",679,"MORAYS","Reef"
2008,"MORAY FAMILY",1046,"MORAYS","Reef"
2009,"MORAY FAMILY",818,"MORAYS","Reef"
2010,"MORAY FAMILY",3821,"MORAYS","Reef"
2011,"MORAY FAMILY",0,"MORAYS","Reef"
2012,"MORAY FAMILY",4030,"MORAYS","Reef"
2013,"MORAY FAMILY",5112,"MORAYS","Reef"
2014,"MORAY FAMILY",2203,"MORAYS","Reef"
2015,"MORAY FAMILY",3434,"MORAYS","Reef"
2016,"MORAY FAMILY",4242,"MORAYS","Reef"
2017,"MORAY FAMILY",4229,"MORAYS","Reef"
2018,"MORAY FAMILY",10310,"MORAYS","Reef"
2019,"MORAY FAMILY",8153,"MORAYS","Reef"
2020,"MORAY FAMILY",4400,"MORAYS","Reef"
2003,"MULLET FAMILY",7558,"MULLETS","Fishpond"
2004,"MULLET FAMILY",6932,"MULLETS","Fishpond"
2006,"MULLET FAMILY",1144,"MULLETS","Fishpond"
2013,"MULLET FAMILY",2105,"MULLETS","Fishpond"
2014,"MULLET FAMILY",917,"MULLETS","Fishpond"
2015,"MULLET FAMILY",0,"MULLETS","Fishpond"
2020,"MULLETS",0,"MULLETS","Fishpond"
2003,"MUSTACHE CONGER EEL",2040,"EELS","Reef"
2006,"MUSTACHE CONGER EEL",1170,"EELS","Reef"
2007,"MUSTACHE CONGER EEL",254,"EELS","Reef"
2008,"MUSTACHE CONGER EEL",913,"EELS","Reef"
2009,"MUSTACHE CONGER EEL",1270,"EELS","Reef"
2010,"MUSTACHE CONGER EEL",549,"EELS","Reef"
2011,"MUSTACHE CONGER EEL",158,"EELS","Reef"
2012,"MUSTACHE CONGER EEL",1895,"EELS","Reef"
2013,"MUSTACHE CONGER EEL",1979,"EELS","Reef"
2014,"MUSTACHE CONGER EEL",2924,"EELS","Reef"
2015,"MUSTACHE CONGER EEL",122,"EELS","Reef"
2017,"MUSTACHE CONGER EEL",1300,"EELS","Reef"
2020,"MUSTACHE CONGER EEL",4201,"EELS","Reef"
2005,"NEEDLE-TOOTH MORAY",0,"MORAYS","Reef"
2008,"NEEDLE-TOOTH MORAY",2239,"MORAYS","Reef"
2017,"NEEDLEFISH",0,"NEEDLEFISHES","Reef"
2018,"NEEDLEFISH",11754,"NEEDLEFISHES","Reef"
2019,"NEEDLEFISH",2615,"NEEDLEFISHES","Reef"
2020,"NEEDLEFISH",7156,"NEEDLEFISHES","Reef"
2003,"NEEDLEFISH FAMILY",6767,"NEEDLEFISHES","Reef"
2004,"NEEDLEFISH FAMILY",3660,"NEEDLEFISHES","Reef"
2005,"NEEDLEFISH FAMILY",1004,"NEEDLEFISHES","Reef"
2006,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","Reef"
2007,"NEEDLEFISH FAMILY",642,"NEEDLEFISHES","Reef"
2008,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","Reef"
2009,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","Reef"
2010,"NEEDLEFISH FAMILY",5157,"NEEDLEFISHES","Reef"
2011,"NEEDLEFISH FAMILY",1783,"NEEDLEFISHES","Reef"
2012,"NEEDLEFISH FAMILY",1163,"NEEDLEFISHES","Reef"
2013,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","Reef"
2014,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","Reef"
2015,"NEEDLEFISH FAMILY",266,"NEEDLEFISHES","Reef"
2016,"NEEDLEFISH FAMILY",0,"NEEDLEFISHES","Reef"
2006,"OILFISH",643,"OILFISH","Pelagic"
2007,"OILFISH",344,"OILFISH","Pelagic"
2008,"OILFISH",785,"OILFISH","Pelagic"
2003,"ORANGEBAND SURGEONFISH",2426,"SURGEONFISHES","Reef"
2004,"ORANGEBAND SURGEONFISH",1036,"SURGEONFISHES","Reef"
2005,"ORANGEBAND SURGEONFISH",1036,"SURGEONFISHES","Reef"
2006,"ORANGEBAND SURGEONFISH",2802,"SURGEONFISHES","Reef"
2010,"ORANGEBAND SURGEONFISH",9991,"SURGEONFISHES","Reef"
2012,"ORANGEBAND SURGEONFISH",7928,"SURGEONFISHES","Reef"
2013,"ORANGEBAND SURGEONFISH",4606,"SURGEONFISHES","Reef"
2014,"ORANGEBAND SURGEONFISH",591,"SURGEONFISHES","Reef"
2018,"ORANGEBAND SURGEONFISH",14146,"SURGEONFISHES","Reef"
2003,"ORANGESPINE UNICORNFISH",9064,"UNICORNFISHES","Reef"
2004,"ORANGESPINE UNICORNFISH",12798,"UNICORNFISHES","Reef"
2006,"ORANGESPINE UNICORNFISH",3858,"UNICORNFISHES","Reef"
2008,"ORANGESPINE UNICORNFISH",5362,"UNICORNFISHES","Reef"
2010,"ORANGESPINE UNICORNFISH",1609,"UNICORNFISHES","Reef"
2012,"ORANGESPINE UNICORNFISH",396,"UNICORNFISHES","Reef"
2013,"ORANGESPINE UNICORNFISH",1078,"UNICORNFISHES","Reef"
2014,"ORANGESPINE UNICORNFISH",2403,"UNICORNFISHES","Reef"
2015,"ORANGESPINE UNICORNFISH",6480,"UNICORNFISHES","Reef"
2016,"ORANGESPINE UNICORNFISH",3475,"UNICORNFISHES","Reef"
2017,"ORANGESPINE UNICORNFISH",1843,"UNICORNFISHES","Reef"
2018,"ORANGESPINE UNICORNFISH",6556,"UNICORNFISHES","Reef"
2019,"ORANGESPINE UNICORNFISH",82404,"UNICORNFISHES","Reef"
2020,"ORANGESPINE UNICORNFISH",18747,"UNICORNFISHES","Reef"
2005,"ORNATE WRASSE",6356,"WRASSES","Reef"
2006,"ORNATE WRASSE",1401,"WRASSES","Reef"
2006,"PALENOSE PARROTFISH",286,"PARROTFISHES","Reef"
2007,"PALENOSE PARROTFISH",2486,"PARROTFISHES","Reef"
2008,"PALENOSE PARROTFISH",6521,"PARROTFISHES","Reef"
2009,"PALENOSE PARROTFISH",213,"PARROTFISHES","Reef"
2010,"PALENOSE PARROTFISH",1796,"PARROTFISHES","Reef"
2012,"PALENOSE PARROTFISH",1264,"PARROTFISHES","Reef"
2013,"PALENOSE PARROTFISH",2942,"PARROTFISHES","Reef"
2014,"PALENOSE PARROTFISH",3095,"PARROTFISHES","Reef"
2015,"PALENOSE PARROTFISH",917,"PARROTFISHES","Reef"
2016,"PALENOSE PARROTFISH",808,"PARROTFISHES","Reef"
2019,"PALENOSE PARROTFISH",2146,"PARROTFISHES","Reef"
2011,"PALETAIL UNICORNFISH",180316,"UNICORNFISHES","Reef"
2003,"PARROTFISH FAMILY",32920,"PARROTFISHES","Reef"
2004,"PARROTFISH FAMILY",18358,"PARROTFISHES","Reef"
2005,"PARROTFISH FAMILY",12137,"PARROTFISHES","Reef"
2006,"PARROTFISH FAMILY",2999,"PARROTFISHES","Reef"
2007,"PARROTFISH FAMILY",18475,"PARROTFISHES","Reef"
2008,"PARROTFISH FAMILY",7752,"PARROTFISHES","Reef"
2009,"PARROTFISH FAMILY",4146,"PARROTFISHES","Reef"
2010,"PARROTFISH FAMILY",3081,"PARROTFISHES","Reef"
2011,"PARROTFISH FAMILY",545,"PARROTFISHES","Reef"
2012,"PARROTFISH FAMILY",1306,"PARROTFISHES","Reef"
2013,"PARROTFISH FAMILY",13413,"PARROTFISHES","Reef"
2014,"PARROTFISH FAMILY",3999,"PARROTFISHES","Reef"
2015,"PARROTFISH FAMILY",793,"PARROTFISHES","Reef"
2016,"PARROTFISH FAMILY",157,"PARROTFISHES","Reef"
2017,"PARROTFISH FAMILY",0,"PARROTFISHES","Reef"
2019,"PARROTFISH FAMILY",1587,"PARROTFISHES","Reef"
2020,"PARROTFISH FAMILY",3451,"PARROTFISHES","Reef"
2003,"PEACOCK GROUPER",7874,"GROUPERS","Reef"
2005,"PEACOCK GROUPER",6989,"GROUPERS","Reef"
2006,"PEACOCK GROUPER",3729,"GROUPERS","Reef"
2007,"PEACOCK GROUPER",1349,"GROUPERS","Reef"
2008,"PEACOCK GROUPER",20120,"GROUPERS","Reef"
2009,"PEACOCK GROUPER",0,"GROUPERS","Reef"
2010,"PEACOCK GROUPER",557,"GROUPERS","Reef"
2011,"PEACOCK GROUPER",4658,"GROUPERS","Reef"
2012,"PEACOCK GROUPER",8377,"GROUPERS","Reef"
2013,"PEACOCK GROUPER",7823,"GROUPERS","Reef"
2014,"PEACOCK GROUPER",13302,"GROUPERS","Reef"
2015,"PEACOCK GROUPER",2396,"GROUPERS","Reef"
2016,"PEACOCK GROUPER",9251,"GROUPERS","Reef"
2017,"PEACOCK GROUPER",3211,"GROUPERS","Reef"
2018,"PEACOCK GROUPER",16583,"GROUPERS","Reef"
2019,"PEACOCK GROUPER",7246,"GROUPERS","Reef"
2020,"PEACOCK GROUPER",11809,"GROUPERS","Reef"
2003,"PEACOCK RAZORFISH",60959,"RAZORFISHES","Reef"
2004,"PEACOCK RAZORFISH",201828,"RAZORFISHES","Reef"
2005,"PEACOCK RAZORFISH",93834,"RAZORFISHES","Reef"
2006,"PEACOCK RAZORFISH",87713,"RAZORFISHES","Reef"
2007,"PEACOCK RAZORFISH",31872,"RAZORFISHES","Reef"
2008,"PEACOCK RAZORFISH",37571,"RAZORFISHES","Reef"
2009,"PEACOCK RAZORFISH",61192,"RAZORFISHES","Reef"
2010,"PEACOCK RAZORFISH",36538,"RAZORFISHES","Reef"
2011,"PEACOCK RAZORFISH",9654,"RAZORFISHES","Reef"
2012,"PEACOCK RAZORFISH",90750,"RAZORFISHES","Reef"
2013,"PEACOCK RAZORFISH",58476,"RAZORFISHES","Reef"
2014,"PEACOCK RAZORFISH",29409,"RAZORFISHES","Reef"
2015,"PEACOCK RAZORFISH",34991,"RAZORFISHES","Reef"
2016,"PEACOCK RAZORFISH",26159,"RAZORFISHES","Reef"
2017,"PEACOCK RAZORFISH",37315,"RAZORFISHES","Reef"
2018,"PEACOCK RAZORFISH",70768,"RAZORFISHES","Reef"
2019,"PEACOCK RAZORFISH",98500,"RAZORFISHES","Reef"
