"Year","NMFS.Name","Pounds","Dollars"
1994,"TUNA, ALBACORE",1415000,1796000
1994,"TUNA, SKIPJACK",1310000,2058000
1994,"TUNA, YELLOWFIN",3732000,9255000
1994,"VERTEBRATES, JAWED",3514000,6193000
1994,"SHRIMPS, PENAEID **",63000,326000
1994,"TUNA, BLUEFIN PACIFIC",94000,1109000
1994,"LOBSTER, CARIBBEAN SPINY",114000,678000
1994,"SNAPPERS, LUTJANIDAE (FAMILY) **",117000,340000
1994,"SHARKS, CHONDRICHTHYES (CLASS) **",1803000,384000
1995,"SAILFISH",46000,36000
1995,"TUNAS **",12000,14000
1995,"CORALS **",6000,123000
1995,"SWORDFISH",5882000,12893000
1995,"SNAPPER, RED",533000,2097000
1995,"TUNA, BIGEYE",4746000,16070000
1995,"BILLFISHES **",3015000,2920000
1995,"CRUSTACEANS **",56000,216000
1995,"SPEARFISHES **",310000,240000
1995,"TUNA, ALBACORE",2257000,2633000
1995,"TUNA, SKIPJACK",1603000,1950000
1995,"TUNA, YELLOWFIN",4541000,10685000
1995,"VERTEBRATES, JAWED",3941000,6821000
1995,"SHRIMPS, PENAEID **",53000,269000
1995,"TUNA, BLUEFIN PACIFIC",50000,1090000
1995,"LOBSTER, CARIBBEAN SPINY",45000,274000
1995,"SNAPPERS, LUTJANIDAE (FAMILY) **",221000,614000
1995,"SHARKS, CHONDRICHTHYES (CLASS) **",2575000,902000
1996,"TUNAS **",9000,13000
1996,"CORALS **",1000,27000
1996,"SWORDFISH",5871000,13869000
1996,"SNAPPER, RED",473000,2089000
1996,"TUNA, BIGEYE",5233000,20008000
1996,"BILLFISHES **",2806000,2480000
1996,"CRUSTACEANS **",72000,276000
1996,"SPEARFISHES **",210000,230000
1996,"TUNA, ALBACORE",2951000,3023000
1996,"TUNA, SKIPJACK",2192000,2920000
1996,"TUNA, YELLOWFIN",3674000,8905000
1996,"VERTEBRATES, JAWED",3429000,6226000
1996,"SHRIMPS, PENAEID **",32000,160000
1996,"TUNA, BLUEFIN PACIFIC",60000,1040000
1996,"LOBSTER, CARIBBEAN SPINY",212000,1495000
1996,"SNAPPERS, LUTJANIDAE (FAMILY) **",173000,476000
1996,"SHARKS, CHONDRICHTHYES (CLASS) **",4472000,1051000
1997,"TUNAS **",9000,13000
1997,"CORALS **",2000,41000
1997,"SWORDFISH",6361000,14060000
1997,"SNAPPER, RED",413000,1923000
1997,"TUNA, BIGEYE",5778000,17923000
1997,"CRUSTACEANS **",78000,296000
1997,"SPEARFISHES **",220000,190000
1997,"TUNA, ALBACORE",4083000,4883000
1997,"TUNA, SKIPJACK",2472000,3191000
1997,"TUNA, YELLOWFIN",4810000,11775000
1997,"VERTEBRATES, JAWED",6960000,9948000
1997,"SHRIMPS, PENAEOID **",34000,170000
1997,"TUNA, BLUEFIN PACIFIC",50000,780000
1997,"LOBSTER, CARIBBEAN SPINY",197000,1240000
1997,"SNAPPERS, LUTJANIDAE (FAMILY) **",89000,259000
1997,"SHARKS, CHONDRICHTHYES (CLASS) **",5012000,2001000
1998,"TUNAS **",1000,3000
1998,"CORALS **",30,1800
1998,"SWORDFISH",7202000,11961000
1998,"SNAPPER, RED",346000,1530000
1998,"TUNA, BIGEYE",7407000,21476000
1998,"CRUSTACEANS **",187000,756000
1998,"SPEARFISHES **",296000,174000
1998,"TUNA, ALBACORE",3003000,3574000
1998,"TUNA, SKIPJACK",1084000,1403000
1998,"TUNA, YELLOWFIN",3456000,7405000
1998,"VERTEBRATES, JAWED",6794000,10136000
1998,"SHRIMPS, PENAEOID **",146000,636000
1998,"TUNA, BLUEFIN PACIFIC",36000,253000
1998,"LOBSTER, CARIBBEAN SPINY",126000,880000
1998,"SNAPPERS, LUTJANIDAE (FAMILY) **",120000,336000
1998,"SHARKS, CHONDRICHTHYES (CLASS) **",6222000,1540000
1999,"TUNAS **",5960,7581
1999,"CORALS **",2848,71401
1999,"SWORDFISH",6847322,12950478
1999,"SNAPPER, RED",386362,1726918
1999,"TUNA, BIGEYE",6152197,20322741
1999,"CRUSTACEANS **",218438,873057
1999,"SPEARFISHES **",472000,397000
1999,"TUNA, ALBACORE",3872494,4366846
1999,"TUNA, SKIPJACK",1943872,2435701
1999,"TUNA, YELLOWFIN",3062896,6714291
1999,"VERTEBRATES, JAWED",7110177,11064523
1999,"SHRIMPS, PENAEOID **",19038,117260
1999,"TUNA, BLUEFIN PACIFIC",23000,151000
1999,"LOBSTER, CARIBBEAN SPINY",142652,1021509
1999,"SNAPPERS, LUTJANIDAE (FAMILY) **",339798,792736
1999,"SHARKS, CHONDRICHTHYES (CLASS) **",6307786,1543476
2001,"TUNAS **",10240,12431
2001,"SWORDFISH",679746,1340509
2001,"SNAPPER, RED",304217,1349890
2001,"TUNA, BIGEYE",6388583,22254758
2001,"CRUSTACEANS **",57372,617329
2001,"SPEARFISHES **",552000,668000
2001,"TUNA, ALBACORE",3111763,4379888
2001,"TUNA, SKIPJACK",1771530,2134438
2001,"TUNA, YELLOWFIN",3859490,9899609
2001,"VERTEBRATES, JAWED",6521446,10937012
2001,"SHRIMPS, PENAEOID **",7554,62922
2001,"LOBSTER, BANDED SPINY",7964,96094
2001,"TUNA, BLUEFIN PACIFIC",2000,22000
2001,"SNAPPERS, LUTJANIDAE (FAMILY) **",275664,643556
2001,"SHARKS, CHONDRICHTHYES (CLASS) **",320902,143010
2002,"OPAH",912187,1219467
2002,"WAHOO",654987,1441006
2002,"EELS **",768,966
2002,"ESCOLAR",3972,3986
2002,"OILFISH",203333,289734
2002,"SEAWEED",14672,109332
2002,"JACKS **",56784,97886
2002,"SAILFISH",11002,15415
2002,"TUNAS **",1812,10482
2002,"ALFONSINO",11,32
2002,"SWORDFISH",707787,1381363
2002,"LIMPETS **",8106,65363
2002,"MULLETS **",160,362
2002,"DOLPHINFISH",1367673,2608540
2002,"EMPERORS **",3254,9056
2002,"JACK, BLACK",4084,6185
2002,"POMFRETS **",489784,675049
2002,"TILAPIAS **",373,746
2002,"JACK, ALMACO",966,883
2002,"MARLIN, BLUE",868147,1012103
2002,"OCTOPUSES **",23952,69328
2002,"SCAD, BIGEYE",282803,529900
2002,"SQUID, JUMBO",2189,5373
2002,"TUNA, BIGEYE",10628443,28467787
2002,"BILLFISHES **",654,894
2002,"GOATFISHES **",59078,167795
2002,"MARLIN, BLACK",7932,9201
2002,"RUDDERFISH **",26670,27717
2002,"THREADFINS **",166,752
2002,"CRUSTACEANS **",3936,108240
2002,"SCAD, MACKEREL",245056,460455
2002,"SPEARFISHES **",313627,268925
2002,"TUNA, ALBACORE",1640907,1925403
2002,"TUNA, KAWAKAWA",8839,8719
2002,"TUNA, SKIPJACK",949209,1205652
2002,"FLYINGFISHES **",4,7
2002,"MARLIN, STRIPED",611826,981544
2002,"MULLET, STRIPED",7454,24182
2002,"PARROTFISHES **",48844,123909
2002,"RUNNER, RAINBOW",4445,5867
2002,"SHARKS, MAKO **",176232,80932
2002,"TUNA, YELLOWFIN",2608935,5913167
2002,"SURGEONFISHES **",131872,181326
2002,"TRIGGERFISHES **",2370,3252
2002,"CUCUMBERS, SEA **",196,699
2002,"MACKEREL, FRIGATE",84,129
2002,"SCORPIONFISHES **",2759,11711
2002,"SHRIMP, MARINE **",449,3366
2002,"SNAPPER, GLASSEYE",3726,10137
2002,"SQUIRRELFISHES **",50963,168203
2002,"VERTEBRATES, JAWED",20384,51554
2002,"JOBFISH, GREEN /UKU",112586,272819
2002,"SHARKS, THRESHER **",81362,26198
2002,"LOBSTERS, SLIPPER **",58,496
2002,"TENPOUNDER, HAWAIIAN",138,158
2002,"LOBSTER, BANDED SPINY",9527,121060
2002,"LEATHERSKIN, LARGEMOUTHED",301,458
2002,"CRABS, DECAPODA (ORDER) **",11321,43859
2002,"GROUPERS, SERRANIDAE (FAMILY) **",37563,153753
2002,"SNAPPERS, LUTJANIDAE (FAMILY) **",399830,1764620
2002,"SHARKS, CHONDRICHTHYES (CLASS) **",1188,367
2002,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",19899,19852
2002,"BUTTERFLYFISHES, CHAETODONTIDAE (FAMILY) **",317,254
2003,"OPAH",1095520,1509402
2003,"WAHOO",980639,1899884
2003,"EELS **",922,1022
2003,"ESCOLAR",3255,3330
2003,"OILFISH",278118,417332
2003,"SEAWEED",12298,83534
2003,"JACKS **",50597,95923
2003,"SAILFISH",3493,2678
2003,"TUNAS **",14883,62135
2003,"ALFONSINO",33,122
2003,"SWORDFISH",323506,705381
2003,"LIMPETS **",10686,64332
2003,"MULLETS **",82,182
2003,"DOLPHINFISH",1311806,2911012
2003,"EMPERORS **",4470,10435
2003,"JACK, BLACK",3753,5966
2003,"POMFRETS **",458541,776855
2003,"TILAPIAS **",889,1418
2003,"JACK, ALMACO",1736,1154
2003,"MARLIN, BLUE",952069,823022
2003,"OCTOPUSES **",25007,72050
2003,"SCAD, BIGEYE",326033,508276
2003,"SQUID, JUMBO",3290,5647
2003,"TUNA, BIGEYE",8258716,25779265
2003,"BILLFISHES **",2208,2907
2003,"GOATFISHES **",48217,134292
2003,"MARLIN, BLACK",4069,4374
2003,"RUDDERFISH **",20098,22444
2003,"THREADFINS **",263,756
2003,"CRUSTACEANS **",4290,117975
2003,"SCAD, MACKEREL",245376,473127
2003,"SPEARFISHES **",516920,265102
2003,"SUNFISH, OCEAN",7,1
2003,"TUNA, ALBACORE",1341084,1561017
2003,"TUNA, KAWAKAWA",3924,4019
2003,"TUNA, SKIPJACK",1329888,1329788
2003,"MARLIN, STRIPED",1370255,1155267
2003,"MULLET, STRIPED",8998,30205
2003,"PARROTFISHES **",67124,168101
2003,"RUNNER, RAINBOW",4845,7577
2003,"SHARKS, MAKO **",189564,78869
2003,"TUNA, YELLOWFIN",3415046,8618434
2003,"SURGEONFISHES **",111098,164266
2003,"TRIGGERFISHES **",2534,2804
2003,"CABRILLA, SPOTTED",7,22
2003,"CUCUMBERS, SEA **",287,929
2003,"MACKEREL, FRIGATE",5,2
2003,"SCORPIONFISHES **",3380,13115
2003,"SHRIMP, MARINE **",1620,9173
2003,"SNAPPER, GLASSEYE",6005,18636
2003,"SQUIRRELFISHES **",46267,151864
2003,"VERTEBRATES, JAWED",15552,48451
2003,"JOBFISH, GREEN /UKU",141779,344384
2003,"SHARKS, THRESHER **",96424,28466
2003,"LOBSTERS, SLIPPER **",35,273
2003,"TENPOUNDER, HAWAIIAN",527,608
2003,"LOBSTER, BANDED SPINY",5541,66551
2003,"LEATHERSKIN, LARGEMOUTHED",557,799
2003,"CRABS, DECAPODA (ORDER) **",10902,41488
2003,"GROUPERS, SERRANIDAE (FAMILY) **",46583,184443
2003,"SNAPPERS, LUTJANIDAE (FAMILY) **",353241,1660807
2003,"SHARKS, CHONDRICHTHYES (CLASS) **",2786,312
2003,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",23963,22863
2003,"BUTTERFLYFISHES, CHAETODONTIDAE (FAMILY) **",282,202
2003,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",49,114
2004,"OPAH",790946,1353724
2004,"WAHOO",847994,2191144
2004,"EELS **",757,795
2004,"ESCOLAR",2807,3128
2004,"OILFISH",345898,569345
2004,"SEAWEED",12586,55534
2004,"JACKS **",49277,100356
2004,"SAILFISH",7578,9758
2004,"TUNAS **",267,2229
2004,"ALFONSINO",27,118
2004,"SWORDFISH",521484,1225762
2004,"LIMPETS **",3057,26902
2004,"MULLETS **",139,357
2004,"DOLPHINFISH",2220401,4916978
2004,"EMPERORS **",1143,2482
2004,"JACK, BLACK",3083,5133
2004,"POMFRETS **",769062,1322835
2004,"TILAPIAS **",632,988
2004,"JACK, ALMACO",462,541
2004,"MARLIN, BLUE",895251,1112730
2004,"OCTOPUSES **",18569,57003
2004,"SCAD, BIGEYE",296604,573154
2004,"TUNA, BIGEYE",9844778,28845438
2004,"BILLFISHES **",436,609
2004,"GOATFISHES **",47610,114746
2004,"MARLIN, BLACK",7063,10339
2004,"RUDDERFISH **",21508,23029
2004,"THREADFINS **",223,981
2004,"SCAD, MACKEREL",171655,350236
2004,"SPEARFISHES **",444656,432861
2004,"SUNFISH, OCEAN",117,12
2004,"TUNA, ALBACORE",1127051,1494465
2004,"TUNA, KAWAKAWA",3293,4713
2004,"TUNA, SKIPJACK",861637,1131199
2004,"FLYINGFISHES **",8,10
2004,"MACKEREL, SNAKE",4,2
2004,"MARLIN, STRIPED",937299,1353368
2004,"MULLET, STRIPED",10151,33939
2004,"PARROTFISHES **",28363,78456
2004,"RUNNER, RAINBOW",4111,7739
2004,"SHARKS, MAKO **",125491,47590
2004,"TUNA, YELLOWFIN",3105695,7049382
2004,"SURGEONFISHES **",70654,107097
2004,"TRIGGERFISHES **",842,1063
2004,"CUCUMBERS, SEA **",230,715
2004,"MACKEREL, FRIGATE",3,4
2004,"SCORPIONFISHES **",2632,10363
2004,"SHRIMP, MARINE **",30,270
2004,"SNAPPER, GLASSEYE",11841,27429
2004,"SQUIRRELFISHES **",39652,120161
2004,"VERTEBRATES, JAWED",13761,43286
2004,"JOBFISH, GREEN /UKU",145638,414195
2004,"SHARKS, THRESHER **",102958,26109
2004,"LOBSTERS, SLIPPER **",7,56
2004,"TENPOUNDER, HAWAIIAN",237,238
2004,"LOBSTER, BANDED SPINY",4870,57893
2004,"SQUIDS, LOLIGINIDAE **",535,1165
2004,"LEATHERSKIN, LARGEMOUTHED",490,744
2004,"CRABS, DECAPODA (ORDER) **",12718,49891
2004,"GROUPERS, SERRANIDAE (FAMILY) **",42855,186129
2004,"SNAPPERS, LUTJANIDAE (FAMILY) **",371761,1833268
2004,"SHARKS, CHONDRICHTHYES (CLASS) **",6349,839
2004,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",36263,32026
2005,"OPAH",1086076,1897337
2005,"WAHOO",817249,2250647
2005,"EELS **",681,714
2005,"ESCOLAR",3436,3554
2005,"OILFISH",385809,704254
2005,"SEAWEED",14602,81518
2005,"JACKS **",33447,77799
2005,"SAILFISH",7420,8480
2005,"TUNAS **",10770,29984
2005,"ALFONSINO",18,86
2005,"SWORDFISH",3445598,7778160
2005,"LIMPETS **",5004,44788
2005,"MULLETS **",74,202
2005,"DOLPHINFISH",1439168,3595424
2005,"EMPERORS **",1776,4053
2005,"JACK, BLACK",1364,2438
2005,"POMFRETS **",646123,1440166
2005,"TILAPIAS **",1214,1803
2005,"JACK, ALMACO",231,173
2005,"MARLIN, BLUE",969226,972110
2005,"OCTOPUSES **",21688,65344
2005,"SCAD, BIGEYE",247636,492812
2005,"TUNA, BIGEYE",10934544,36059029
2005,"BILLFISHES **",315,318
2005,"GOATFISHES **",35689,98749
2005,"MARLIN, BLACK",2461,2740
2005,"RUDDERFISH **",19436,19899
2005,"THREADFINS **",349,1963
2005,"SCAD, MACKEREL",154053,342416
2005,"SPEARFISHES **",467748,420144
2005,"SUNFISH, OCEAN",123,12
2005,"TUNA, ALBACORE",1008007,1506812
2005,"TUNA, KAWAKAWA",3342,4845
2005,"TUNA, SKIPJACK",964402,1132066
2005,"MARLIN, STRIPED",1218030,1536754
2005,"MULLET, STRIPED",8679,30222
2005,"PARROTFISHES **",30032,89450
2005,"RUNNER, RAINBOW",4265,6726
2005,"SHARKS, MAKO **",203827,81657
2005,"TUNA, YELLOWFIN",3208468,7369099
2005,"SURGEONFISHES **",82368,120006
2005,"TRIGGERFISHES **",1134,1698
2005,"CUCUMBERS, SEA **",38,114
2005,"MACKEREL, FRIGATE",3,1
2005,"SCORPIONFISHES **",2599,11421
2005,"SHRIMP, MARINE **",84,756
2005,"SNAPPER, GLASSEYE",5688,15227
2005,"SQUIRRELFISHES **",32986,115562
2005,"VERTEBRATES, JAWED",12246,33631
2005,"JOBFISH, GREEN /UKU",145233,483929
2005,"SHARKS, THRESHER **",63314,17189
2005,"LOBSTERS, SLIPPER **",13,102
2005,"TENPOUNDER, HAWAIIAN",640,652
2005,"LOBSTER, BANDED SPINY",10091,110927
2005,"SQUIDS, LOLIGINIDAE **",1444,2669
2005,"LEATHERSKIN, LARGEMOUTHED",351,460
2005,"CRABS, DECAPODA (ORDER) **",8951,36249
2005,"PUFFERS, SPHOEROIDES (GENUS) **",3,2
2005,"GROUPERS, SERRANIDAE (FAMILY) **",45635,208638
2005,"SNAPPERS, LUTJANIDAE (FAMILY) **",288914,1509492
2005,"SHARKS, CHONDRICHTHYES (CLASS) **",8314,2673
