"Year","NMFS.Name","Pounds","Dollars","nominal_revenue"
1999,"CORALS **",2848,104963.410984018,71401
1999,"CRUSTACEANS **",218438,1283441.97845231,873057
1999,"LOBSTER, CARIBBEAN SPINY ",142652,1501674.61227256,1021509
1999,"SHARKS, CHONDRICHTHYES (CLASS) **",6307786,2268994.91228369,1543476
1999,"SHRIMPS, PENAEOID **",19038,172378.672175262,117260
1999,"SNAPPER, RED ",386362,2538664.77737984,1726918
1999,"SNAPPERS, LUTJANIDAE (FAMILY) **",339798,1165365.67512817,792736
1999,"SPEARFISHES **",472000,583611.912447375,397000
1999,"SWORDFISH ",6847322,19037917.4626893,12950478
1999,"TUNA, ALBACORE ",3872494,6419504.64842108,4366846
1999,"TUNA, BIGEYE ",6152197,29875550.9853468,20322741
1999,"TUNA, BLUEFIN PACIFIC ",23000,221978.334457314,151000
1999,"TUNA, SKIPJACK ",1943872,3580614.90871532,2435701
1999,"TUNA, YELLOWFIN ",3062896,9870378.36583929,6714291
1999,"TUNAS **",5960,11144.4884339132,7581
1999,"VERTEBRATES, JAWED",7110177,16265459.5172493,11064523
2000,"CRUSTACEANS **",57848,304068.328403134,211467
2000,"LOBSTER, BANDED SPINY ",10394,174267.687767577,121196
2000,"SHARKS, CHONDRICHTHYES (CLASS) **",3300200,1241364.66276221,863318
2000,"SHRIMPS, PENAEOID **",886,8538.24820921379,5938
2000,"SNAPPER, RED ",420815,2817391.84509419,1959380
2000,"SNAPPERS, LUTJANIDAE (FAMILY) **",326845,1130319.9853535,786091
2000,"SPEARFISHES **",271001,471631.090034039,328000
2000,"SWORDFISH ",6521184,18397008.8303356,12794362
2000,"TUNA, ALBACORE ",2288550,4817546.22623626,3350405
2000,"TUNA, BIGEYE ",6170906,30835965.3678565,21445144
2000,"TUNA, BLUEFIN PACIFIC ",8000,123659.371167461,86000
2000,"TUNA, SKIPJACK ",1653920,2964014.47390752,2061350
2000,"TUNA, YELLOWFIN ",4808084,18133722.2122238,12611257
2000,"TUNAS **",6702,14771.5432558527,10273
2000,"VERTEBRATES, JAWED",6685995,16986229.3911743,11813223
2001,"CRUSTACEANS **",57372,868561.181523943,617329
2001,"LOBSTER, BANDED SPINY ",7964,135201.032475976,96094
2001,"SHARKS, CHONDRICHTHYES (CLASS) **",320902,201210.269677496,143010
2001,"SHRIMPS, PENAEOID **",7554,88529.1419386575,62922
2001,"SNAPPER, RED ",304217,1899249.91913122,1349890
2001,"SNAPPERS, LUTJANIDAE (FAMILY) **",275664,905461.690179503,643556
2001,"SPEARFISHES **",552000,939853.577683851,668000
2001,"SWORDFISH ",679746,1886051.16701707,1340509
2001,"TUNA, ALBACORE ",3111763,6162355.39918348,4379888
2001,"TUNA, BIGEYE ",6388583,31311697.4951921,22254758
2001,"TUNA, BLUEFIN PACIFIC ",2000,30953.2615404861,22000
2001,"TUNA, SKIPJACK ",1771530,3003082.62072509,2134438
2001,"TUNA, YELLOWFIN ",3859490,13928417.5693432,9899609
2001,"TUNAS **",10240,17489.9997368083,12431
2001,"VERTEBRATES, JAWED",6521446,15388008.7685198,10937012
2002,"ALFONSINO ",11,44.3225890031524,32
2002,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",19899,27496.6261528306,19852
2002,"BILLFISHES **",654,1238.26233027557,894
2002,"BLACK MARLIN",7932,12744.1294193127,9201
2002,"BUTTERFLYFISHES, CHAETODONTIDAE (FAMILY) **",317,351.810550212522,254
2002,"CRABS, DECAPODA (ORDER) **",11321,60748.2634715394,43859
2002,"CRUSTACEANS **",3936,149921.157303163,108240
2002,"CUCUMBERS, SEA **",196,968.171553537609,699
2002,"DOLPHINFISH ",1367673,3613038.94744635,2608540
2002,"EELS **",768,1337.98815553266,966
2002,"EMPERORS **",3254,12543.2926878921,9056
2002,"ESCOLAR ",3972,5520.93249270517,3986
2002,"FLYINGFISHES **",4,9.69556634443958,7
2002,"GOATFISHES **",59078,232409.650680748,167795
2002,"GROUPERS, SERRANIDAE (FAMILY) **",37563,212960.344593803,153753
2002,"JACK, ALMACO ",966,1223.02644030574,883
2002,"JACK, BLACK ",4084,8566.72540576554,6185
2002,"JACKS **",56784,135580.02959883,97886
2002,"JOBFISH, GREEN /UKU ",112586,377876.387789094,272819
2002,"LEATHERSKIN, LARGEMOUTHED ",301,634.367055107618,458
2002,"LIMPETS **",8106,90533.0432816577,65363
2002,"LOBSTER, BANDED SPINY ",9527,167677.894522551,121060
2002,"LOBSTERS, SLIPPER **",58,687.000129548862,496
2002,"MACKEREL, FRIGATE ",84,178.675436918958,129
2002,"MARLIN, BLUE ",868147,1401844.54055805,1012103
2002,"MULLET, STRIPED ",7454,33494.0264773197,24182
2002,"MULLETS **",160,501.399288098161,362
2002,"OCTOPUSES **",23952,96024.8890753296,69328
2002,"OILFISH ",203333,401305.03131998,289734
2002,"OPAH ",912187,1689060.4576221,1219467
2002,"PARROTFISHES **",48844,171623.990024738,123909
2002,"POMFRETS **",489784,934997.480749656,675049
2002,"RUDDERFISH **",26670,38390.2874812617,27717
2002,"RUNNER, RAINBOW ",4445,8126.26967754672,5867
2002,"SAILFISH ",11002,21351.0221713623,15415
2002,"SCAD, BIGEYE ",282803,733954.372274076,529900
